1,1,0.0033222591362126247,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
1,2,0.0033222591362126247,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Dancing, Time of arrival: Evening, Day of the week: Wednesday, Duration: One night, Transportation: Car, Souvenirs: Waterpipe])
2,1,0.006644518272425249,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
2,2,0.006644518272425249,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Morning, Day of the week: Thursday, Duration: One week, Transportation: Public transport, Souvenirs: Tulips])
3,1,0.009966777408637873,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
3,2,0.009966777408637873,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Dancing, Time of arrival: Evening, Day of the week: Friday, Duration: One night, Transportation: Car, Souvenirs: Tulips])
4,1,0.013289036544850499,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
4,2,0.013289036544850499,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Evening, Day of the week: Thursday, Duration: One night, Transportation: Combination, Souvenirs: Tulips])
5,1,0.016611295681063124,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
5,2,0.016611295681063124,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Dancing, Time of arrival: Evening, Day of the week: Sunday, Duration: One week, Transportation: Public transport, Souvenirs: Cheese])
6,1,0.019933554817275746,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
6,2,0.019933554817275746,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Morning, Day of the week: Sunday, Duration: One night, Transportation: Car, Souvenirs: None])
7,1,0.023255813953488372,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
7,2,0.023255813953488372,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One night, Transportation: Combination, Souvenirs: Waterpipe])
8,1,0.026578073089700997,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
8,2,0.026578073089700997,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Morning, Day of the week: Sunday, Duration: One night, Transportation: Car, Souvenirs: Waterpipe])
9,1,0.029900332225913623,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
9,2,0.029900332225913623,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Morning, Day of the week: Saturday, Duration: One night, Transportation: Car, Souvenirs: Tulips])
10,1,0.03322259136212625,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
10,2,0.03322259136212625,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Diner, Time of arrival: Evening, Day of the week: Tuesday, Duration: One week, Transportation: Car, Souvenirs: Tulips])
11,1,0.036544850498338874,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
11,2,0.036544850498338874,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Evening, Day of the week: Sunday, Duration: One night, Transportation: Car, Souvenirs: Cheese])
12,1,0.03986710963455149,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
12,2,0.03986710963455149,boa-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_BS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_AS-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-C..Users.Wouter.Documents.Study.Documents.Year.4.Multi.agent.systems.Project.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1,(Offer  bid:Bid[Venue: Shopping, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One night, Transportation: Combination, Souvenirs: Cheese])
13,1,0.04318936877076412,BoulwareNegotiationParty@0,(Offer  bid:Bid[Venue: Museum, Time of arrival: Afternoon, Day of the week: Sunday, Duration: One day, Transportation: Public transport, Souvenirs: Tulips])
