sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
11.994;12798;;12s;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;Group2@0;PokerFace@1;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
11.815;9426;;12s;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;PokerFace@2;Group2@3;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;0.7216666666666667;0.9761884907982836;party1_utility.xml;party2_utility.xml
0.018;3;;12s;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TUDMixedStrategyAgent@4;Group2@5;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@48503868 failed: failed to construct agent : Execution failed of init<Group5_AS@6,Participant[Party6,genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  file:bin/mas2021/group5/Group5_AS.class: agent Group5_AS is not available in directory 'file:bin/mas2021/group5': Group5_AS:[file:bin/mas2021/group5/Group5_AS.class, agents.anac.y2015.group2.Group2];12s;No;;0;;;;;;Group5_AS;Group2;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
0.004;2;;12s;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;Group2@8;TUDMixedStrategyAgent@9;1.0;0.2969260373579895;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
0.010;2;;12s;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;PokerFace@10;TUDMixedStrategyAgent@11;1.0;0.2969260373579895;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
0.013;3;;12s;Yes;No;2;0.62667;0.85161;0.15173;0.17604;1.47828;TUDMixedStrategyAgent@12;PokerFace@13;0.6266666666666667;0.8516130107848354;0.6266666666666667;0.8516130107848354;0.6266666666666667;0.8516130107848354;0.0;0.0;0.6266666666666667;0.8516130107848354;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@5f282abb failed: failed to construct agent : Execution failed of init<Group5_AS@14,Participant[Party14,genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  file:bin/mas2021/group5/Group5_AS.class: agent Group5_AS is not available in directory 'file:bin/mas2021/group5': Group5_AS:[file:bin/mas2021/group5/Group5_AS.class, agents.anac.y2015.pokerface.PokerFace];12s;No;;0;;;;;;Group5_AS;PokerFace;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@1e965684 failed: failed to construct agent : Execution failed of init<Group5_AS@17,Participant[Party17,genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  file:bin/mas2021/group5/Group5_AS.class: agent Group5_AS is not available in directory 'file:bin/mas2021/group5': Group5_AS:[agents.anac.y2015.group2.Group2, file:bin/mas2021/group5/Group5_AS.class];12s;No;;0;;;;;;Group2;Group5_AS;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@53f65459 failed: failed to construct agent : Execution failed of init<Group5_AS@19,Participant[Party19,genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  file:bin/mas2021/group5/Group5_AS.class. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  file:bin/mas2021/group5/Group5_AS.class: agent Group5_AS is not available in directory 'file:bin/mas2021/group5': Group5_AS:[agents.anac.y2015.pokerface.PokerFace, file:bin/mas2021/group5/Group5_AS.class];12s;No;;0;;;;;;PokerFace;Group5_AS;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
