Table 1
Round;Bid;P1;P2;Social welfare
1;1;1;0,530198480382879;1,53019848038288
1;2;0,387918085273795;1;1,3879180852738
2;1;1;0,530198480382879;1,53019848038288
2;2;0,387918085273795;1;1,3879180852738
3;1;1;0,530198480382879;1,53019848038288
3;2;0,387918085273795;1;1,3879180852738
4;1;1;0,530198480382879;1,53019848038288
4;2;0,387918085273795;1;1,3879180852738
5;1;1;0,530198480382879;1,53019848038288
5;2;0,387918085273795;1;1,3879180852738
6;1;1;0,530198480382879;1,53019848038288
6;2;0,387918085273795;1;1,3879180852738
7;1;1;0,530198480382879;1,53019848038288
7;2;0,387918085273795;1;1,3879180852738
8;1;1;0,530198480382879;1,53019848038288
8;2;0,387918085273795;1;1,3879180852738
9;1;1;0,530198480382879;1,53019848038288
9;2;0,387918085273795;1;1,3879180852738
10;1;1;0,530198480382879;1,53019848038288
10;2;0,387918085273795;1;1,3879180852738
11;1;1;0,530198480382879;1,53019848038288
11;2;0,387918085273795;1;1,3879180852738
12;1;1;0,530198480382879;1,53019848038288
12;2;0,387918085273795;1;1,3879180852738
13;1;1;0,530198480382879;1,53019848038288
13;2;0,387918085273795;1;1,3879180852738
14;1;1;0,530198480382879;1,53019848038288
14;2;0,387918085273795;1;1,3879180852738
15;1;1;0,530198480382879;1,53019848038288
15;2;0,387918085273795;1;1,3879180852738
16;1;1;0,530198480382879;1,53019848038288
16;2;0,387918085273795;1;1,3879180852738
17;1;1;0,530198480382879;1,53019848038288
17;2;0,387918085273795;1;1,3879180852738
18;1;1;0,530198480382879;1,53019848038288
18;2;0,387918085273795;1;1,3879180852738
19;1;1;0,530198480382879;1,53019848038288
19;2;0,387918085273795;1;1,3879180852738
20;1;1;0,530198480382879;1,53019848038288
20;2;0,387918085273795;1;1,3879180852738
21;1;1;0,530198480382879;1,53019848038288
21;2;0,387918085273795;1;1,3879180852738
22;1;1;0,530198480382879;1,53019848038288
22;2;0,387918085273795;1;1,3879180852738
23;1;1;0,530198480382879;1,53019848038288
23;2;0,387918085273795;1;1,3879180852738
24;1;1;0,530198480382879;1,53019848038288
24;2;0,387918085273795;1;1,3879180852738
25;1;1;0,530198480382879;1,53019848038288
25;2;0,387918085273795;1;1,3879180852738
26;1;1;0,530198480382879;1,53019848038288
26;2;0,387918085273795;1;1,3879180852738
27;1;1;0,530198480382879;1,53019848038288
27;2;0,387918085273795;1;1,3879180852738
28;1;1;0,530198480382879;1,53019848038288
28;2;0,387918085273795;1;1,3879180852738
29;1;1;0,530198480382879;1,53019848038288
29;2;0,387918085273795;1;1,3879180852738
30;1;1;0,530198480382879;1,53019848038288
30;2;0,387918085273795;1;1,3879180852738
31;1;1;0,530198480382879;1,53019848038288
31;2;0,387918085273795;1;1,3879180852738
32;1;1;0,530198480382879;1,53019848038288
32;2;0,387918085273795;1;1,3879180852738
33;1;1;0,530198480382879;1,53019848038288
33;2;0,357890582063486;0,931186006532544;1,28907658859603
34;1;1;0,530198480382879;1,53019848038288
34;2;0,357890582063486;0,931186006532544;1,28907658859603
35;1;1;0,530198480382879;1,53019848038288
35;2;0,357890582063486;0,931186006532544;1,28907658859603
36;1;1;0,530198480382879;1,53019848038288
36;2;0,357890582063486;0,931186006532544;1,28907658859603
37;1;0,861845740694448;0,289922547967233;1,15176828866168
37;2;0,598110607745956;0,931186006532544;1,5292966142785
38;1;0,861845740694448;0,289922547967233;1,15176828866168
38;2;0,598110607745956;0,931186006532544;1,5292966142785
39;1;0,861845740694448;0,289922547967233;1,15176828866168
39;2;0,598110607745956;0,931186006532544;1,5292966142785
40;1;0,861845740694448;0,289922547967233;1,15176828866168
40;2;0,598110607745956;0,931186006532544;1,5292966142785
41;1;0,861845740694448;0,289922547967233;1,15176828866168
41;2;0,598110607745956;0,931186006532544;1,5292966142785
42;1;0,861845740694448;0,289922547967233;1,15176828866168
42;2;0,598110607745956;0,931186006532544;1,5292966142785
43;1;0,861845740694448;0,289922547967233;1,15176828866168
43;2;0,249763825968244;0,759724067584353;1,0094878935526
44;1;0,861845740694448;0,289922547967233;1,15176828866168
44;2;0,249763825968244;0,759724067584353;1,0094878935526
45;1;0,789807477527839;0,599012473850335;1,38881995137817
45;2;0,249763825968244;0,759724067584353;1,0094878935526
46;1;0,789807477527839;0,599012473850335;1,38881995137817
46;2;0,249763825968244;0,759724067584353;1,0094878935526
47;1;0,75977997431753;0,530198480382879;1,28997845470041
47;2;0,249763825968244;0,759724067584353;1,0094878935526
48;1;0,698582955809467;0,580321921151587;1,27890487696105
48;2;0,249763825968244;0,759724067584353;1,0094878935526
49;1;0,698582955809467;0,580321921151587;1,27890487696105
49;2;0,219736322757935;0,690910074116897;0,910646396874832
50;1;0,651653218222288;0,358736541434688;1,01038975965698
50;2;0,488390433337306;0,649135914619043;1,13752634795635
51;1;0,621625715011979;0,289922547967233;0,911548262979212
51;2;0,488390433337306;0,649135914619043;1,13752634795635
52;1;0,598110607745956;0,931186006532544;1,5292966142785
52;2;0,598110607745956;0,931186006532544;1,5292966142785
52;1;0,598110607745956;0,931186006532544;1,5292966142785
