sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.596;52;;60rounds;Yes;No;2;0.61079;0.98122;0.00000;0.20273;1.59200;KLH@1404;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1405;0.9812171514310787;0.6107858002283095;0.9812171514310787;0.6107858002283095;0.0;0.6107858002283095;0.0;0.0;0.9812171514310787;0.6107858002283095;Domain8_util2.xml;Domain8_util1.xml
1.250;37;;60rounds;Yes;No;2;0.75915;0.80135;0.02098;0.04066;1.56050;IAMhaggler2011@1406;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1407;0.8013514658881408;0.7591512290809761;0.8013514658881408;0.7591512290809761;0.0;0.7591512290809761;0.0;0.0;0.8013514658881408;0.7591512290809761;Domain8_util2.xml;Domain8_util1.xml
0.836;52;;60rounds;Yes;No;2;0.61348;0.96341;0.00000;0.18887;1.57689;Gahboninho@1408;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1409;0.9634122054878681;0.613476096753544;0.9634122054878681;0.613476096753544;0.0;0.613476096753544;0.0;0.0;0.9634122054878681;0.613476096753544;Domain8_util2.xml;Domain8_util1.xml
0.002;4;;60rounds;Yes;No;2;0.76476;0.80389;0.00000;0.08976;1.56866;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1410;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1411;0.7647636713760089;0.8038947539841493;0.7647636713760089;0.8038947539841493;0.7647636713760089;0.8038947539841493;0.0;0.0;0.7647636713760089;0.8038947539841493;Domain8_util2.xml;Domain8_util1.xml
0.689;53;;60rounds;Yes;No;2;0.61079;0.98122;0.00000;0.20273;1.59200;KLH@1412;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1413;0.9812171514310787;0.6107858002283095;0.9812171514310787;0.6107858002283095;0.0;0.6107858002283095;0.0;0.0;0.9812171514310787;0.6107858002283095;Domain8_util2.xml;Domain8_util1.xml
1.390;36;;60rounds;Yes;No;2;0.76184;0.78355;0.02194;0.05856;1.54539;IAMhaggler2011@1414;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1415;0.7835465199449302;0.7618415256062105;0.7835465199449302;0.7618415256062105;0.0;0.7618415256062105;0.0;0.0;0.7835465199449302;0.7618415256062105;Domain8_util2.xml;Domain8_util1.xml
0.597;53;;60rounds;Yes;No;2;0.61079;0.98122;0.00000;0.20273;1.59200;Gahboninho@1416;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1417;0.9812171514310787;0.6107858002283095;0.9812171514310787;0.6107858002283095;0.0;0.6107858002283095;0.0;0.0;0.9812171514310787;0.6107858002283095;Domain8_util2.xml;Domain8_util1.xml
0.002;3;;60rounds;Yes;No;2;0.74112;0.76047;0.05102;0.08328;1.50160;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1418;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1419;0.7604745947078932;0.7411233373414331;0.7604745947078932;0.7411233373414331;0.7604745947078932;0.7411233373414331;0.0;0.0;0.7604745947078932;0.7411233373414331;Domain8_util2.xml;Domain8_util1.xml
0.643;52;;60rounds;Yes;No;2;0.61079;0.98122;0.00000;0.20273;1.59200;KLH@1420;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1421;0.9812171514310787;0.6107858002283095;0.9812171514310787;0.6107858002283095;0.0;0.6107858002283095;0.0;0.0;0.9812171514310787;0.6107858002283095;Domain8_util2.xml;Domain8_util1.xml
1.055;35;;60rounds;Yes;No;2;0.78287;0.78981;0.00000;0.05774;1.57268;IAMhaggler2011@1422;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1423;0.7898141989008051;0.782867186247374;0.7898141989008051;0.782867186247374;0.0;0.782867186247374;0.0;0.0;0.7898141989008051;0.782867186247374;Domain8_util2.xml;Domain8_util1.xml
