sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.010;3;;60rounds;Yes;Yes;2;0.79688;0.88066;0.08138;0.11502;1.67753;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1524;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1525;0.8044296693308999;0.8890021756736507;0.7968777998869457;0.8806563517663067;0.7968777998869457;0.8806563517663067;0.0;0.0;0.7968777998869457;0.8806563517663067;Animal_util1.xml;Animal_util2.xml
0.085;38;;60rounds;Yes;Yes;2;0.53411;0.83988;0.00000;0.26209;1.37399;KLH@1526;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1527;1.0;0.635939110969607;0.8398804797414945;0.534112845607533;0.0;0.534112845607533;0.0;0.0;0.8398804797414945;0.534112845607533;Animal_util1.xml;Animal_util2.xml
0.253;16;;60rounds;Yes;Yes;2;0.76909;0.91342;0.00000;0.09021;1.68251;IAMhaggler2011@1528;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1529;0.8254638524859714;0.9803786438788632;0.7690869104005734;0.9134214417418272;0.0;0.9134214417418272;0.0;0.0;0.7690869104005734;0.9134214417418272;Animal_util1.xml;Animal_util2.xml
0.062;30;;60rounds;Yes;Yes;2;0.77270;0.82100;0.00000;0.05032;1.59371;Gahboninho@1530;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1531;0.9413312813420194;0.885950987163539;0.8210042147862813;0.7727029888121318;0.0;0.7727029888121318;0.0;0.0;0.8210042147862813;0.7727029888121318;Animal_util1.xml;Animal_util2.xml
0.002;3;;60rounds;Yes;Yes;2;0.69177;0.69995;0.26967;0.30921;1.39172;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1532;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1533;0.6983233185536213;0.7065876518915355;0.6917675601915855;0.6999543091628501;0.6917675601915855;0.6999543091628501;0.0;0.0;0.6917675601915855;0.6999543091628501;Animal_util1.xml;Animal_util2.xml
0.065;38;;60rounds;Yes;Yes;2;0.53411;0.83988;0.00000;0.26209;1.37399;KLH@1534;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1535;1.0;0.635939110969607;0.8398804797414945;0.534112845607533;0.0;0.534112845607533;0.0;0.0;0.8398804797414945;0.534112845607533;Animal_util1.xml;Animal_util2.xml
0.104;8;;60rounds;Yes;Yes;2;0.84294;0.85192;0.06054;0.06843;1.69486;IAMhaggler2011@1536;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1537;0.8805145342572822;0.8712349700726864;0.85192094740095;0.8429427252319348;0.0;0.8429427252319348;0.0;0.0;0.85192094740095;0.8429427252319348;Animal_util1.xml;Animal_util2.xml
0.058;30;;60rounds;Yes;Yes;2;0.77270;0.82100;0.00000;0.05032;1.59371;Gahboninho@1538;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1539;0.9413312813420194;0.885950987163539;0.8210042147862813;0.7727029888121318;0.0;0.7727029888121318;0.0;0.0;0.8210042147862813;0.7727029888121318;Animal_util1.xml;Animal_util2.xml
0.002;3;;60rounds;Yes;Yes;2;0.75165;0.83995;0.13651;0.17377;1.59160;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1540;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1541;0.7587780268524124;0.8479061131858044;0.7516547284284535;0.8399460931720774;0.7516547284284535;0.8399460931720774;0.0;0.0;0.7516547284284535;0.8399460931720774;Animal_util1.xml;Animal_util2.xml
0.108;38;;60rounds;Yes;Yes;2;0.53411;0.83988;0.00000;0.26209;1.37399;KLH@1542;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1543;1.0;0.635939110969607;0.8398804797414945;0.534112845607533;0.0;0.534112845607533;0.0;0.0;0.8398804797414945;0.534112845607533;Animal_util1.xml;Animal_util2.xml
