sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.003;4;;60rounds;Yes;Yes;2;0.67297;0.81797;0.11969;0.12877;1.49093;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1630;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1631;0.6825541749990222;0.8296244038829163;0.6729651885667335;0.8179692745992366;0.6729651885667335;0.8179692745992366;0.0;0.0;0.6729651885667335;0.8179692745992366;Travel-A-prof2.xml;Travel-A-prof1.xml
22.113;45;;60rounds;Yes;Yes;2;0.55838;0.70955;0.00000;0.16888;1.26793;Gahboninho@1632;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1633;0.8731763277123772;0.6871433493243859;0.7095487001672208;0.5583771053654475;0.0;0.5583771053654475;0.0;0.0;0.7095487001672208;0.5583771053654475;Travel-A-prof2.xml;Travel-A-prof1.xml
31.441;61;;60rounds;No;Yes;1;0.37677;0.37677;0.75194;0.89855;0.00000;KLH@1638;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1639;0.5;0.5;0.3767727141932847;0.3767727141932847;0.0;0.0;0.0;0.0;0.3767727141932847;0.3767727141932847;Travel-A-prof2.xml;Travel-A-prof1.xml
4.455;16;;60rounds;Yes;Yes;2;0.64166;0.91324;0.00000;0.13944;1.55491;IAMhaggler2011@1644;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1645;0.688700166873053;0.9801853495122493;0.6416638135487069;0.9132413488561494;0.0;0.9132413488561494;0.0;0.0;0.6416638135487069;0.9132413488561494;Travel-A-prof2.xml;Travel-A-prof1.xml
26.860;31;;60rounds;Yes;Yes;2;0.69621;0.76600;0.00000;0.00000;1.46220;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1646;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1647;0.8020154681025256;0.8824121625110543;0.6962055228110676;0.7659954768569615;0.6962055228110676;0.7659954768569615;0.0;0.0;0.6962055228110676;0.7659954768569615;Travel-A-prof2.xml;Travel-A-prof1.xml
21.857;45;;60rounds;Yes;Yes;2;0.57746;0.67782;0.00000;0.14201;1.25528;Gahboninho@1650;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1651;0.8341338761961201;0.7106251135607424;0.6778225529441514;0.5774585380185646;0.0;0.5774585380185646;0.0;0.0;0.6778225529441514;0.5774585380185646;Travel-A-prof2.xml;Travel-A-prof1.xml
27.996;61;;60rounds;No;Yes;1;0.37677;0.37677;0.75194;0.89855;0.00000;KLH@1654;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1655;0.5;0.5;0.3767727141932847;0.3767727141932847;0.0;0.0;0.0;0.0;0.3767727141932847;0.3767727141932847;Travel-A-prof2.xml;Travel-A-prof1.xml
3.377;19;;60rounds;Yes;Yes;2;0.66676;0.86629;0.00000;0.08944;1.53305;IAMhaggler2011@1658;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1659;0.7258365917296608;0.94303963812983;0.6667633046590108;0.8662889591243907;0.0;0.8662889591243907;0.0;0.0;0.6667633046590108;0.8662889591243907;Travel-A-prof2.xml;Travel-A-prof1.xml
18.386;32;;60rounds;Yes;Yes;2;0.69293;0.76239;0.00000;0.00000;1.45532;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1660;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1661;0.8020154681025256;0.8824121625110543;0.692929878463061;0.7623914710394925;0.692929878463061;0.7623914710394925;0.0;0.0;0.692929878463061;0.7623914710394925;Travel-A-prof2.xml;Travel-A-prof1.xml
14.755;45;;60rounds;Yes;Yes;2;0.55838;0.70955;0.00000;0.16888;1.26793;Gahboninho@1662;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1663;0.8731763277123772;0.6871433493243859;0.7095487001672208;0.5583771053654475;0.0;0.5583771053654475;0.0;0.0;0.7095487001672208;0.5583771053654475;Travel-A-prof2.xml;Travel-A-prof1.xml
23.053;61;;60rounds;No;Yes;1;0.37677;0.37677;0.75194;0.89855;0.00000;KLH@1664;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1665;0.5;0.5;0.3767727141932847;0.3767727141932847;0.0;0.0;0.0;0.0;0.3767727141932847;0.3767727141932847;Travel-A-prof2.xml;Travel-A-prof1.xml
0.484;13;;60rounds;Yes;Yes;2;0.66830;0.85151;0.04337;0.09131;1.51982;IAMhaggler2011@1666;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1667;0.7072167574585081;0.9010938803745958;0.6683045694809714;0.8515142655128801;0.0;0.8515142655128801;0.0;0.0;0.6683045694809714;0.8515142655128801;Travel-A-prof2.xml;Travel-A-prof1.xml
15.371;31;;60rounds;Yes;Yes;2;0.69621;0.76600;0.00000;0.00000;1.46220;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1668;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1669;0.8020154681025256;0.8824121625110543;0.6962055228110676;0.7659954768569615;0.6962055228110676;0.7659954768569615;0.0;0.0;0.6962055228110676;0.7659954768569615;Travel-A-prof2.xml;Travel-A-prof1.xml
13.905;45;;60rounds;Yes;Yes;2;0.55838;0.70955;0.00000;0.16888;1.26793;Gahboninho@1670;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1671;0.8731763277123772;0.6871433493243859;0.7095487001672208;0.5583771053654475;0.0;0.5583771053654475;0.0;0.0;0.7095487001672208;0.5583771053654475;Travel-A-prof2.xml;Travel-A-prof1.xml
22.988;61;;60rounds;No;Yes;1;0.37677;0.37677;0.75194;0.89855;0.00000;KLH@1672;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1673;0.5;0.5;0.3767727141932847;0.3767727141932847;0.0;0.0;0.0;0.0;0.3767727141932847;0.3767727141932847;Travel-A-prof2.xml;Travel-A-prof1.xml
3.760;21;;60rounds;Yes;Yes;2;0.69603;0.83679;0.00000;0.04780;1.53282;IAMhaggler2011@1674;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1675;0.7648790432459178;0.9195578738934735;0.6960320561450507;0.8367881998626867;0.0;0.8367881998626867;0.0;0.0;0.6960320561450507;0.8367881998626867;Travel-A-prof2.xml;Travel-A-prof1.xml
15.091;31;;60rounds;Yes;Yes;2;0.69621;0.76600;0.00000;0.00000;1.46220;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1676;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1677;0.8020154681025256;0.8824121625110543;0.6962055228110676;0.7659954768569615;0.6962055228110676;0.7659954768569615;0.0;0.0;0.6962055228110676;0.7659954768569615;Travel-A-prof2.xml;Travel-A-prof1.xml
13.521;45;;60rounds;Yes;Yes;2;0.57746;0.67782;0.00000;0.14201;1.25528;Gahboninho@1678;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1679;0.8341338761961201;0.7106251135607424;0.6778225529441514;0.5774585380185646;0.0;0.5774585380185646;0.0;0.0;0.6778225529441514;0.5774585380185646;Travel-A-prof2.xml;Travel-A-prof1.xml
20.762;61;;60rounds;No;Yes;1;0.37677;0.37677;0.75194;0.89855;0.00000;KLH@1680;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1681;0.5;0.5;0.3767727141932847;0.3767727141932847;0.0;0.0;0.0;0.0;0.3767727141932847;0.3767727141932847;Travel-A-prof2.xml;Travel-A-prof1.xml
2.345;18;;60rounds;Yes;Yes;2;0.66992;0.87038;0.00000;0.08986;1.54030;IAMhaggler2011@1682;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1683;0.7258365917296608;0.94303963812983;0.6699152533889585;0.8703841130799257;0.0;0.8703841130799257;0.0;0.0;0.6699152533889585;0.8703841130799257;Travel-A-prof2.xml;Travel-A-prof1.xml
