sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.093;50;;60rounds;Yes;Yes;2;0.09851;0.22987;0.00000;0.09288;0.32838;BoulwareNegotiationParty@0;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@1;0.7;0.3;0.22986670989369748;0.09851430424015607;0.22986670989369748;0.09851430424015607;0.0;0.0;0.22986670989369748;0.09851430424015607;FiftyFifty2013_prof1.xml;FiftyFifty2013_prof2.xml
0.046;29;;60rounds;Yes;Yes;2;0.15877;0.37046;0.00000;0.14969;0.52923;ConcederNegotiationParty@2;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@3;0.3;0.7;0.15876905098305458;0.37046111896046063;0.15876905098305458;0.37046111896046063;0.0;0.0;0.15876905098305458;0.37046111896046063;FiftyFifty2013_prof1.xml;FiftyFifty2013_prof2.xml
;32;Session genius.core.session.Session@5ebc3688 failed: Failed to execute protocol: Negotiating party SimpleAgent@4 timed out in chooseAction() method.: agent SimpleAgent@4 passed deadline and was killed:[agents.SimpleAgent, boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t];60rounds;No;;0;;;;;;SimpleAgent;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t;0.5;0.5;0.5;0.5;;;;;;;FiftyFifty2013_prof1;FiftyFifty2013_prof2
0.024;4;;60rounds;Yes;Yes;2;0.28023;0.65387;0.00000;0.26420;0.93409;RandomCounterOfferNegotiationParty@6;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@7;0.3;0.7;0.2802281417732088;0.6538656641374873;0.2802281417732088;0.6538656641374873;0.0;0.0;0.2802281417732088;0.6538656641374873;FiftyFifty2013_prof1.xml;FiftyFifty2013_prof2.xml
0.063;34;;60rounds;Yes;Yes;2;0.14172;0.33067;0.00000;0.13361;0.47238;RandomParty@8;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@9;0.3;0.7;0.1417152767537889;0.3306689790921741;0.1417152767537889;0.3306689790921741;0.0;0.0;0.1417152767537889;0.3306689790921741;FiftyFifty2013_prof1.xml;FiftyFifty2013_prof2.xml
0.010;5;;60rounds;Yes;Yes;2;0.09131;0.82179;0.00000;0.51653;0.91310;RandomParty2@10;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@11;0.1;0.9;0.09131048641785482;0.8217943777606933;0.09131048641785482;0.8217943777606933;0.0;0.0;0.09131048641785482;0.8217943777606933;FiftyFifty2013_prof1.xml;FiftyFifty2013_prof2.xml
0.014;3;;60rounds;Yes;Yes;2;0.28667;0.66890;0.00000;0.27027;0.95557;Agent33@12;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@13;0.3;0.7;0.2866695619979026;0.6688956446617728;0.2866695619979026;0.6688956446617728;0.0;0.0;0.2866695619979026;0.6688956446617728;FiftyFifty2013_prof1.xml;FiftyFifty2013_prof2.xml
0.015;3;;60rounds;Yes;Yes;2;0.28667;0.66890;0.00000;0.27027;0.95557;AgentHerb@14;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@15;0.3;0.7;0.2866695619979026;0.6688956446617728;0.2866695619979026;0.6688956446617728;0.0;0.0;0.2866695619979026;0.6688956446617728;FiftyFifty2013_prof1.xml;FiftyFifty2013_prof2.xml
0.589;45;;60rounds;Yes;Yes;2;0.07358;0.29432;0.00000;0.15609;0.36790;AgentNP1@16;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@17;0.2;0.8;0.07357956484178553;0.2943182593671421;0.07357956484178553;0.2943182593671421;0.0;0.0;0.07357956484178553;0.2943182593671421;FiftyFifty2013_prof1.xml;FiftyFifty2013_prof2.xml
0.071;56;;60rounds;Yes;Yes;2;0.05730;0.22922;0.00000;0.12156;0.28652;AgreeableAgent2018@18;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@19;0.8;0.2;0.2292181543015661;0.05730453857539153;0.2292181543015661;0.05730453857539153;0.0;0.0;0.2292181543015661;0.05730453857539153;FiftyFifty2013_prof1.xml;FiftyFifty2013_prof2.xml
