sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
48.711;45645;;60s;Yes;Yes;2;0.05374;0.05426;0.00000;0.04247;0.10800;BoulwareNegotiationParty@862;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@863;0.6117039826105853;0.6175891405859933;0.05374044973448858;0.054257482556487185;0.05374043646606627;0.05425746916041039;0.0;0.0;0.053740422685156254;0.054257455246915276;Ultimatum_util1.xml;Ultimatum_util2.xml
41.900;42556;;60s;Yes;Yes;2;0.01588;0.07872;0.00000;0.00000;0.09460;ConcederNegotiationParty@866;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@867;0.12868032333663812;0.6377160279235726;0.015883701200273798;0.07871670334293804;0.015883699465862013;0.07871669474751206;0.0;0.0;0.015883695545790714;0.07871667532035931;Ultimatum_util1.xml;Ultimatum_util2.xml
;155;Session genius.core.session.Session@2a8b9d95 failed: Failed to execute protocol: Negotiating party SimpleAgent@870 timed out in chooseAction() method.: agent SimpleAgent@870 passed deadline and was killed:[agents.SimpleAgent, boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t];60s;No;;0;;;;;;SimpleAgent;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t;0.1;0.1;0.1;0.1;;;;;;;Ultimatum_util1;Ultimatum_util2
29.396;31925;;60s;Yes;Yes;2;0.02966;0.14697;0.00000;0.11141;0.17662;RandomCounterOfferNegotiationParty@876;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@877;0.12868032333663812;0.6377160279235726;0.029655116529509088;0.1469653061978644;0.029655113774026094;0.1469652925421972;0.0;0.0;0.02965510704004723;0.14696525916983583;Ultimatum_util1.xml;Ultimatum_util2.xml
29.391;33588;;60s;Yes;Yes;2;0.02966;0.14700;0.00000;0.11144;0.17666;RandomParty@878;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@879;0.12868032333663812;0.6377160279235726;0.029661798666965125;0.14699842164275922;0.0296617966246936;0.14699841152163698;0.0;0.0;0.029661791747826783;0.14699838735278153;Ultimatum_util1.xml;Ultimatum_util2.xml
29.391;44968;;60s;Yes;Yes;2;0.02966;0.14700;0.00000;0.11144;0.17666;RandomParty2@882;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@883;0.12868032333663812;0.6377160279235726;0.02966161743849977;0.14699752350779907;0.02966161522444809;0.14699751253536594;0.0;0.0;0.029661608475664163;0.1469974790896334;Ultimatum_util1.xml;Ultimatum_util2.xml
3.630;2393;;60s;Yes;Yes;2;0.01668;0.83420;0.00000;0.58772;0.85090;Agent33@884;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@885;0.02;1.0;0.016684017716088604;0.8342008858044302;0.016684014713072785;0.8342007356536392;0.0;0.0;0.0166840079431692;0.83420039715846;Ultimatum_util1.xml;Ultimatum_util2.xml
0.065;36;;60s;Yes;Yes;2;0.01994;0.99676;0.00000;0.70224;1.01670;AgentHerb@888;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@889;0.02;1.0;0.019935194573782768;0.9967597286891383;0.019935192901608674;0.9967596450804337;0.0;0.0;0.01993518965380904;0.996759482690452;Ultimatum_util1.xml;Ultimatum_util2.xml
42.012;3112;;60s;Yes;Yes;2;0.07508;0.07581;0.00000;0.05934;0.15089;AgentNP1@890;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@891;0.6117039826105853;0.6175891405859933;0.07508421499578163;0.07580659457687221;0.07508420635463653;0.0758065858525913;0.0;0.0;0.0750841868230281;0.07580656613307074;Ultimatum_util1.xml;Ultimatum_util2.xml
60.000;82203;;60s;No;Yes;1;0.00500;0.00500;0.03253;0.03253;0.00000;AgreeableAgent2018@892;boa-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_BS_k_max_e_min-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_AS-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OM_l-.Users.ottomattas.Documents.UU.INFOMAS.Project.Code.win.win.bin.mas2021.group5.Group5_OMS_t@893;0.1;0.1;0.005000000000000001;0.005000000000000001;0.0;0.0;0.0;0.0;0.005000000000000001;0.005000000000000001;Ultimatum_util1.xml;Ultimatum_util2.xml
